,nome,DURACAO,tempo,MODOPRIN,diferenca,diferenca_por,tempo_open
461,449,10.0,14.9,bike,4.9,49.00000000000001,415.9
143,450,10.0,6.033333333333333,bike,3.966666666666667,39.666666666666664,579.1
200,451,10.0,7.283333333333333,bike,2.716666666666667,27.166666666666668,415.9
364,452,10.0,11.6,bike,1.5999999999999996,15.999999999999998,579.1
101,453,10.0,4.866666666666666,bike,5.133333333333334,51.33333333333334,209.1
135,454,10.0,5.866666666666666,bike,4.133333333333334,41.333333333333336,509.4
38,455,10.0,2.3833333333333333,bike,7.616666666666667,76.16666666666667,209.1
318,456,10.0,10.4,bike,0.40000000000000036,4.0000000000000036,509.4
476,457,10.0,15.366666666666667,bike,5.366666666666667,53.66666666666667,415.9
370,458,10.0,11.766666666666667,bike,1.7666666666666675,17.666666666666675,579.1
103,459,10.0,4.866666666666666,bike,5.133333333333334,51.33333333333334,209.1
334,460,10.0,10.7,bike,0.6999999999999993,6.999999999999992,509.4
102,461,10.0,4.866666666666666,bike,5.133333333333334,51.33333333333334,209.1
335,462,10.0,10.733333333333333,bike,0.7333333333333325,7.333333333333325,509.4
404,900,15.0,12.916666666666666,bike,2.083333333333334,13.888888888888893,399.4
256,901,15.0,8.783333333333333,bike,6.216666666666667,41.44444444444444,360.4
521,904,15.0,16.933333333333334,bike,1.9333333333333336,12.888888888888891,607.1
469,905,15.0,15.133333333333333,bike,0.13333333333333286,0.8888888888888857,584.4
817,1011,45.0,60.13333333333333,bike,15.133333333333333,33.629629629629626,2345.8
819,1012,120.0,61.05,bike,58.95,49.125,2206.5
524,1102,10.0,17.05,bike,7.050000000000001,70.5,500.2
431,1103,15.0,13.8,bike,1.1999999999999993,7.999999999999995,486.9
422,1354,20.0,13.583333333333334,bike,6.416666666666666,32.08333333333333,483.2
436,1355,20.0,14.05,bike,5.949999999999999,29.75,562.7
462,1637,10.0,14.9,bike,4.9,49.00000000000001,393.0
410,1638,10.0,13.283333333333333,bike,3.283333333333333,32.83333333333333,311.4
508,1796,10.0,16.616666666666667,bike,6.616666666666667,66.16666666666667,528.8
402,1797,10.0,12.816666666666666,bike,2.8166666666666664,28.16666666666666,444.9
424,1857,35.0,13.6,bike,21.4,61.142857142857146,965.6
276,1858,15.0,9.2,bike,5.800000000000001,38.66666666666667,886.3
483,1996,20.0,15.641666666666666,bike,4.358333333333334,21.79166666666667,744.0
511,1997,15.0,16.65833333333333,bike,1.6583333333333314,11.055555555555543,613.6
127,2187,10.0,5.533333333333333,bike,4.466666666666667,44.666666666666664,240.9
106,2188,10.0,4.933333333333334,bike,5.066666666666666,50.66666666666666,319.2
44,2189,5.0,2.5833333333333335,bike,2.4166666666666665,48.33333333333333,297.8
296,2190,10.0,9.883333333333333,bike,0.11666666666666714,1.1666666666666714,478.7
160,2445,15.0,6.566666666666666,bike,8.433333333333334,56.22222222222223,459.3
122,2446,20.0,5.366666666666666,bike,14.633333333333333,73.16666666666667,416.2
78,2489,10.0,3.95,bike,6.05,60.5,364.8
26,2490,10.0,1.9666666666666666,bike,8.033333333333333,80.33333333333333,172.4
89,2495,15.0,4.4,bike,10.6,70.66666666666667,364.8
51,2496,10.0,2.85,bike,7.15,71.50000000000001,172.4
12,2502,3.0,1.3666666666666667,bike,1.6333333333333333,54.44444444444444,165.1
11,2503,3.0,1.3666666666666667,bike,1.6333333333333333,54.44444444444444,7.4
19,2506,5.0,1.8333333333333335,bike,3.1666666666666665,63.33333333333333,79.0
138,2507,5.0,5.9,bike,0.9000000000000004,18.000000000000007,184.9
15,2508,5.0,1.725,bike,3.275,65.5,79.0
176,2509,5.0,6.875,bike,1.875,37.5,184.9
81,2516,10.0,4.033333333333333,bike,5.966666666666667,59.66666666666667,340.5
70,2517,15.0,3.783333333333333,bike,11.216666666666667,74.77777777777777,211.7
110,2729,20.0,4.983333333333333,bike,15.016666666666666,75.08333333333333,624.9
187,2730,20.0,7.116666666666666,bike,12.883333333333333,64.41666666666667,599.0
229,2800,15.0,8.083333333333332,bike,6.916666666666668,46.11111111111112,580.6
204,2801,15.0,7.383333333333333,bike,7.616666666666667,50.77777777777778,554.3
35,2813,10.0,2.2750000000000004,bike,7.725,77.25,129.6
55,2814,10.0,3.0,bike,7.0,70.0,146.6
85,2815,10.0,4.216666666666667,bike,5.783333333333333,57.833333333333336,279.6
14,2816,10.0,1.625,bike,8.375,83.75,129.6
39,2817,15.0,2.408333333333333,bike,12.591666666666667,83.94444444444444,150.1
10,2818,10.0,1.2333333333333334,bike,8.766666666666666,87.66666666666666,131.3
31,2819,15.0,2.2,bike,12.8,85.33333333333334,144.2
17,2821,10.0,1.8,bike,8.2,82.0,129.6
53,2822,10.0,2.9166666666666665,bike,7.083333333333334,70.83333333333334,146.6
41,2824,15.0,2.466666666666667,bike,12.533333333333333,83.55555555555554,144.2
16,2825,10.0,1.8,bike,8.2,82.0,129.6
46,2826,15.0,2.6,bike,12.4,82.66666666666667,150.1
393,3092,15.0,12.383333333333333,bike,2.616666666666667,17.44444444444445,636.3
238,3093,15.0,8.3,bike,6.699999999999999,44.66666666666666,601.6
73,3094,15.0,3.8666666666666667,bike,11.133333333333333,74.22222222222223,213.7
194,3095,15.0,7.2,bike,7.8,52.0,649.0
203,3096,15.0,7.366666666666666,bike,7.633333333333334,50.88888888888889,601.6
137,3097,15.0,5.883333333333334,bike,9.116666666666667,60.777777777777786,259.8
432,3098,15.0,13.883333333333333,bike,1.1166666666666671,7.444444444444448,636.3
245,3099,15.0,8.483333333333333,bike,6.5166666666666675,43.44444444444445,729.3
670,3163,20.0,25.816666666666666,bike,5.816666666666666,29.083333333333332,855.7
645,3164,20.0,23.7,bike,3.6999999999999993,18.499999999999996,777.2
668,3165,25.0,25.791666666666668,bike,0.7916666666666679,3.166666666666671,855.7
646,3166,20.0,23.775,bike,3.7749999999999986,18.874999999999993,777.2
22,3187,10.0,1.875,bike,8.125,81.25,81.1
34,3188,10.0,2.2666666666666666,bike,7.733333333333333,77.33333333333333,174.4
86,3189,10.0,4.266666666666667,bike,5.733333333333333,57.333333333333336,192.3
92,3190,10.0,4.5,bike,5.5,55.00000000000001,185.5
90,3191,10.0,4.416666666666667,bike,5.583333333333333,55.833333333333336,168.8
96,3192,10.0,4.65,bike,5.35,53.49999999999999,219.9
661,3193,80.0,25.225,bike,54.775,68.46875,1515.7
599,3194,60.0,21.316666666666666,bike,38.68333333333334,64.47222222222223,1544.8
75,3430,10.0,3.8916666666666666,bike,6.108333333333333,61.083333333333336,303.8
62,3431,10.0,3.166666666666667,bike,6.833333333333333,68.33333333333333,282.4
56,3531,10.0,3.0,bike,7.0,70.0,180.4
13,3532,10.0,1.4833333333333334,bike,8.516666666666666,85.16666666666666,86.4
325,4175,10.0,10.516666666666666,bike,0.5166666666666657,5.166666666666657,462.5
407,4176,10.0,13.083333333333334,bike,3.083333333333334,30.83333333333334,534.2
277,4177,10.0,9.258333333333333,bike,0.7416666666666671,7.416666666666671,462.5
337,4178,10.0,10.766666666666666,bike,0.7666666666666657,7.666666666666658,534.2
248,4343,5.0,8.533333333333333,bike,3.533333333333333,70.66666666666667,312.3
151,4344,5.0,6.316666666666666,bike,1.3166666666666664,26.333333333333332,308.6
292,4345,10.0,9.783333333333333,bike,0.21666666666666679,2.166666666666668,347.3
412,4433,30.0,13.308333333333334,bike,16.691666666666666,55.63888888888889,860.4
520,4434,40.0,16.925,bike,23.075,57.6875,802.2
474,4456,30.0,15.333333333333334,bike,14.666666666666666,48.888888888888886,702.6
535,4457,30.0,17.6,bike,12.399999999999999,41.33333333333333,683.6
136,4736,10.0,5.883333333333334,bike,4.116666666666666,41.166666666666664,461.7
246,4737,10.0,8.516666666666667,bike,1.4833333333333325,14.833333333333327,437.5
152,4738,10.0,6.366666666666666,bike,3.6333333333333337,36.33333333333334,461.7
351,4739,10.0,11.083333333333334,bike,1.083333333333334,10.83333333333334,437.5
778,5008,40.0,41.416666666666664,bike,1.4166666666666643,3.541666666666661,1750.9
551,5009,35.0,18.5,bike,16.5,47.14285714285714,1666.9
620,5372,20.0,22.616666666666667,bike,2.616666666666667,13.083333333333336,617.4
660,5373,20.0,25.083333333333332,bike,5.083333333333332,25.41666666666666,693.7
789,5374,15.0,44.583333333333336,bike,29.583333333333336,197.22222222222223,1008.5
824,5477,90.0,68.09166666666667,bike,21.90833333333333,24.34259259259259,2395.8
815,5478,70.0,59.86666666666667,bike,10.133333333333333,14.476190476190476,2480.7
715,6135,30.0,29.566666666666666,bike,0.43333333333333357,1.4444444444444453,1315.8
732,6136,30.0,31.566666666666666,bike,1.5666666666666664,5.222222222222221,1210.8
488,6963,15.0,15.733333333333333,bike,0.7333333333333325,4.888888888888884,859.2
509,6964,15.0,16.633333333333333,bike,1.6333333333333329,10.888888888888886,960.8
249,7091,5.0,8.566666666666666,bike,3.5666666666666664,71.33333333333333,247.6
133,7092,7.0,5.7,bike,1.2999999999999998,18.57142857142857,372.8
772,7283,30.0,40.266666666666666,bike,10.266666666666666,34.22222222222222,1192.0
784,7286,35.0,42.74166666666667,bike,7.741666666666667,22.11904761904762,1304.5
804,7568,30.0,53.65,bike,23.65,78.83333333333333,1738.3
795,7569,30.0,47.7,bike,17.700000000000003,59.00000000000001,1739.9
475,7584,15.0,15.35,bike,0.34999999999999964,2.333333333333331,549.3
649,7585,15.0,24.133333333333333,bike,9.133333333333333,60.88888888888888,657.7
310,7867,30.0,10.25,bike,19.75,65.83333333333333,335.1
